OBJECTID;Anlage;Baumnummer;Gattung_Dt;Gattung_Lat;Pflanzdatum;X;Y;Lon;Lat
8086;Kranebitter Allee;233;Sommerlinde;Tilia platyphyllos;;76371,1579999998;236441,039999999;11,3421132500001;47,2624012210001
8087;Kranebitter Allee;250;Krimlinde;Tilia euchlora;;76234,3559999997;236425,134;11,3403032640001;47,2622740260001
8088;Höhenstraße;14;Gemeine Esche;Fraxinus excelsior;;80409,5460999999;238970,155099999;11,395917415;47,2846651140001
8089;Philippine-Welser-Straße;5;Baumhasel;Corylus colurna;31.10.2006;82503,7489999998;236040,493000001;11,4230551100001;47,2580591610001
8090;Anton-Eder-Straße;66;Ungarische Eiche;Quercus frainetto;25.11.2006;81559,4579999996;236161,347999999;11,4106034480001;47,2592636700001
8091;Tivoli  Freiflächen Pradl Süd;55;Föhre;Pinus sylvestris;15.11.2008;81264,5089999996;236162,283;11,4067073800001;47,2593085490001
8092;Kaiser-Franz-Joseph-Straße;16;Winterlinde;Tilia cordata;05.11.2009;81264,2779999999;238109,731000001;11,4070575550001;47,2768222070001
8093;Friedhof Igls;9;Föhre;Pinus sylvestris;;81282,5899999999;233184,33;11,4064066110001;47,2325251290001
8094;Hutterweg;3;Schmalkronige Roßkastanie;Aesculus hippocastanum 'Pyramidalis';15.05.2014;79372,8065999998;236701,744000001;11,3818135900001;47,264390785
8095;Volksschule Schule am Inn;1;Allershausener Spitzahorn;Acer platanoides 'Allershausen';15.05.2006;79423,6067000004;236721,6668;11,3824882540001;47,2645638280001
8096;Kurpark - Igls;447;Bergahorn;Acer pseudoplatanus;;81663,7199999997;232786,9;11,4113664550001;47,2289038580001
8097;Kurpark - Igls;451;Winterlinde;Tilia cordata;;81676,0700000003;232806,02;11,4115329810001;47,2290742770001
8098;Kindergarten Reichenau-Süd;1;Winterlinde;Tilia cordata;16.03.2015;82422,8852000004;237287,346999999;11,4222162720001;47,2692823460001
8099;Claudiastraße;1;Blutahorn 'Crimson King';Acer platanoides 'Crimson King';22.10.2015;81115,8646;237776,897500001;11,4050361020001;47,2738473100001
